Name,Location,Province,Reviews,Rating(out of 5),URL
Chez Xavier et Aline,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14982337-Reviews-Chez_Xavier_et_Aline-Kigali_Kigali_Province.html
The Dale Chine House,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d12952740-Reviews-The_Dale_Chine_House-Ruhengeri_Musanze_District_Northern_Province.html
Dream House,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d12696483-Reviews-Dream_House-Ruhengeri_Musanze_District_Northern_Province.html
Bahati Gallery,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13828661-Reviews-Bahati_Gallery-Kigali_Kigali_Province.html
Motel Mont Kirerema 2,Gakarara,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g13340874-d13235944-Reviews-Motel_Mont_Kirerema_2-Gakarara_Western_Province.html
La Petite Isimbi 1,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12240304-Reviews-La_Petite_Isimbi_1-Cyangugu_Western_Province.html
Delta Resort Hotel,Kibuye,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g673815-d23044438-Reviews-Delta_Resort_Hotel-Kibuye_Western_Province.html
Palma Village Aparthotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12352268-Reviews-Palma_Village_Aparthotel-Kigali_Kigali_Province.html
Shammah Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d10836745-Reviews-Shammah_Guest_House-Kigali_Kigali_Province.html
Gloria Motel,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12229510-Reviews-Gloria_Motel-Cyangugu_Western_Province.html
Kigali Airport Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13597672-Reviews-Kigali_Airport_Hotel-Kigali_Kigali_Province.html
Home of Joy,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17537932-Reviews-Home_of_Joy-Kigali_Kigali_Province.html
Kingsmen Suites,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d17470419-Reviews-Kingsmen_Suites-Kigali_Kigali_Province.html
Nyagasambu Realm Beach Hotel,Rwamagana,Eastern Province,0,,https://www.tripadvisor.com/Hotel_Review-g8593225-d17458510-Reviews-Nyagasambu_Realm_Beach_Hotel-Rwamagana_Eastern_Province.html
Town View Guest House,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d6825179-Reviews-Town_View_Guest_House-Kigali_Kigali_Province.html
Sun View Kivu Hotel,Gisenyi,Western Province,0,,https://www.tripadvisor.com/Hotel_Review-g317074-d15058742-Reviews-Sun_View_Kivu_Hotel-Gisenyi_Western_Province.html
Classic Lodge,Musanze,Northern Province,0,,https://www.tripadvisor.com/Hotel_Review-g12120942-d16853230-Reviews-Classic_Lodge-Musanze_District_Northern_Province.html
Urumuli Hotel,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d8600230-Reviews-Urumuli_Hotel-Ruhengeri_Musanze_District_Northern_Province.html
Kigali Labelle,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19811828-Reviews-Kigali_Labelle-Kigali_Kigali_Province.html
St Barnabas Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d6592138-Reviews-St_Barnabas_Guest_House-Kigali_Kigali_Province.html
Africa New Life Mission House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13899425-Reviews-Africa_New_Life_Mission_House-Kigali_Kigali_Province.html
Umugano Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d20091694-Reviews-Umugano_Guest_House-Kigali_Kigali_Province.html
Gisa Stay 104,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d20243034-Reviews-Gisa_Stay_104-Kigali_Kigali_Province.html
Royal Apartments,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d10720858-Reviews-Royal_Apartments-Kigali_Kigali_Province.html
Kigali Havens,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15277573-Reviews-Kigali_Havens-Kigali_Kigali_Province.html
Felix Estates,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d18340854-Reviews-Felix_Estates-Kigali_Kigali_Province.html
Honey In Honey,Runda,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g15145576-d17668848-Reviews-Honey_In_Honey-Runda_Southern_Province.html
