Name,Location,Province,Reviews,Rating(out of 5),URL
Super Galactico Motel,Nyanza,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g2053546-d7682134-Reviews-Super_Galactico_Motel-Nyanza_Southern_Province.html
Goodlife Lodge,Nyanza,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g2053546-d7682136-Reviews-Goodlife_Lodge-Nyanza_Southern_Province.html
Legacy Africa Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7309141-Reviews-Legacy_Africa_Hotel-Kigali_Kigali_Province.html
Romantic Hotel,Kibuye,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g673815-d13354353-Reviews-Romantic_Hotel-Kibuye_Western_Province.html
Amataba Eco-Vllage,Kibungo,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g1602395-d6115112-Reviews-Amataba_Eco_Vllage-Kibungo_Eastern_Province.html
Bisoke Beer Garden,Musanze,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g12120942-d20055940-Reviews-Bisoke_Beer_Garden-Musanze_District_Northern_Province.html
M. Peace Plaza,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15766766-Reviews-M_Peace_Plaza-Kigali_Kigali_Province.html
Motel Beaux Arts,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d12952875-Reviews-Motel_Beaux_Arts-Butare_Southern_Province.html
Iwacu Home 3,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19391937-Reviews-Iwacu_Home_3-Kigali_Kigali_Province.html
Appartment,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15763205-Reviews-Appartment-Kigali_Kigali_Province.html
Venus Villa Guest House,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d13823372-Reviews-Venus_Villa_Guest_House-Ruhengeri_Musanze_District_Northern_Province.html
The Nest Rugando,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d23527265-Reviews-The_Nest_Rugando-Kigali_Kigali_Province.html
Nicksters Home,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d13415577-Reviews-Nicksters_Home-Kigali_Kigali_Province.html
Clearcom Residence,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d19975600-Reviews-Clearcom_Residence-Kigali_Kigali_Province.html
Child as Master Guest-House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15354385-Reviews-Child_as_Master_Guest_House-Kigali_Kigali_Province.html
A Lovely Quite Home Kigali Airport,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23357641-Reviews-A_Lovely_Quite_Home_Kigali_Airport-Kigali_Kigali_Province.html
Impala Amacumbi Lodge,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d7682119-Reviews-Impala_Amacumbi_Lodge-Gisenyi_Western_Province.html
African Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d12100187-Reviews-African_Guest_House-Gisenyi_Western_Province.html
Villanova Come Again,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17531216-Reviews-Villanova_Come_Again-Kigali_Kigali_Province.html
Amizero Lodge,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d7682124-Reviews-Amizero_Lodge-Gisenyi_Western_Province.html
New Life Motel,Nyanza,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g2053546-d7682129-Reviews-New_Life_Motel-Nyanza_Southern_Province.html
Jambo Inn,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7997201-Reviews-Jambo_Inn-Kigali_Kigali_Province.html
Motel Saint Vincent,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d12227065-Reviews-Motel_Saint_Vincent-Butare_Southern_Province.html
Imuhira Eco-Tourism Rwanda,Kagano,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g19934836-d19917505-Reviews-Imuhira_Eco_Tourism_Rwanda-Kagano_Western_Province.html
Twin Lakes Recreational Island,,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g3685401-d23603528-Reviews-Twin_Lakes_Recreational_Island-Northern_Province.html
Safari Motel Kigali,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8405214-Reviews-Safari_Motel_Kigali-Kigali_Kigali_Province.html
Clock Inn,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17532767-Reviews-Clock_Inn-Kigali_Kigali_Province.html
Nyumbani Cottages,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d16719789-Reviews-Nyumbani_Cottages-Kigali_Kigali_Province.html
Inn on the Lake,Gitesi,Western Province,0,,https://www.tripadvisor.com/Hotel_Review-g8784136-d21275414-Reviews-Inn_on_the_Lake-Gitesi_Western_Province.html
Centre D'acceuil Bonne Esperance,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d17454909-Reviews-Centre_D_acceuil_Bonne_Esperance-Kigali_Kigali_Province.html
Erodium Geust House,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d19657304-Reviews-Erodium_Geust_House-Kigali_Kigali_Province.html
Glads apartment,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17462731-Reviews-Glads_apartment-Kigali_Kigali_Province.html
Anastasia's Paradise,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23375270-Reviews-Anastasia_s_Paradise-Kigali_Kigali_Province.html
Furaha Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d16823685-Reviews-Furaha_Guest_House-Kigali_Kigali_Province.html
New Hope Lodge,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7738086-Reviews-New_Hope_Lodge-Kigali_Kigali_Province.html
Safe Kigali Room,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17602557-Reviews-Safe_Kigali_Room-Kigali_Kigali_Province.html
Eldorado Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7738089-Reviews-Eldorado_Hotel-Kigali_Kigali_Province.html
Celena Plaza Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7738081-Reviews-Celena_Plaza_Motel-Kigali_Kigali_Province.html
Hotel Les Pyrenees,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12923258-Reviews-Hotel_Les_Pyrenees-Kigali_Kigali_Province.html
Bugesera Lake Hotel,Gashora,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g5970461-d23447400-Reviews-Bugesera_Lake_Hotel-Gashora_Eastern_Province.html
Iwacu Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19385458-Reviews-Iwacu_Home-Kigali_Kigali_Province.html
Sunshine Villa Rwanda,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19935686-Reviews-Sunshine_Villa_Rwanda-Kigali_Kigali_Province.html
Prime Hotels Kigali,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13446018-Reviews-Prime_Hotels_Kigali-Kigali_Kigali_Province.html
East Africa Amazon Apartments and Camping Sites,Ruhengeri,Northern P,,,https://www.tripadvisor.com/Hotel_Review-g317075-d17512117-Reviews-East_Africa_Amazon_Apartments_and_Camping_Sites-Ruhengeri_Musanze_District_Northern_P.html
Kanyi Holiday Home,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d2399451-Reviews-Kanyi_Holiday_Home-Gisenyi_Western_Province.html
Victoria Blue Apartments,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15849402-Reviews-Victoria_Blue_Apartments-Kigali_Kigali_Province.html
Vision Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19979031-Reviews-Vision_Motel-Kigali_Kigali_Province.html
Amigo Apartment,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17470737-Reviews-Amigo_Apartment-Kigali_Kigali_Province.html
Clean Plus Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13813233-Reviews-Clean_Plus_Guest_House-Kigali_Kigali_Province.html
Vella Inn,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d20124530-Reviews-Vella_Inn-Kigali_Kigali_Province.html
Amazon Bar and Lodge,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12950612-Reviews-Amazon_Bar_and_Lodge-Kigali_Kigali_Province.html
Baderia,Kabarondo,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g12972180-d12364571-Reviews-Baderia-Kabarondo_Eastern_Province.html
Amani Lodge,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7676746-Reviews-Amani_Lodge-Kigali_Kigali_Province.html
Alcom,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14184093-Reviews-Alcom-Kigali_Kigali_Province.html
Eden Escape Villa,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d12913686-Reviews-Eden_Escape_Villa-Kigali_Kigali_Province.html
Vincenzo Homestay,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d20260327-Reviews-Vincenzo_Homestay-Kigali_Kigali_Province.html
Wisdom Village Isangano,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d12155151-Reviews-Wisdom_Village_Isangano-Butare_Southern_Province.html
Aroma's Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19948520-Reviews-Aroma_s_Motel-Kigali_Kigali_Province.html
Kereth B&B Living Space,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17537624-Reviews-Kereth_B_B_Living_Space-Kigali_Kigali_Province.html
Kigali Royal Harvest Motel,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d20854134-Reviews-Kigali_Royal_Harvest_Motel-Kigali_Kigali_Province.html
Faucon Hotel,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d7935020-Reviews-Faucon_Hotel-Butare_Southern_Province.html
Umucyo Lodge,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d13074905-Reviews-Umucyo_Lodge-Cyangugu_Western_Province.html
Best Western Eco Hotel,Kibuye,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g673815-d7935026-Reviews-Best_Western_Eco_Hotel-Kibuye_Western_Province.html
Imbaraga Guest House,Nyamata,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g15269115-d14936313-Reviews-Imbaraga_Guest_House-Nyamata_Eastern_Province.html
Honey Moon Private Apartment - Hmpa,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19682790-Reviews-Honey_Moon_Private_Apartment_Hmpa-Kigali_Kigali_Province.html
The Memory Makers Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17512315-Reviews-The_Memory_Makers_Hotel-Kigali_Kigali_Province.html
Centre d'Acceuil Umutekano,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d12088259-Reviews-Centre_d_Acceuil_Umutekano-Gisenyi_Western_Province.html
Rock Classic,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14184090-Reviews-Rock_Classic-Kigali_Kigali_Province.html
Kigali Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13826363-Reviews-Kigali_Guest_House-Kigali_Kigali_Province.html
Boomerang Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d9885950-Reviews-Boomerang_Motel-Kigali_Kigali_Province.html
St. Barnabas CAC,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14048255-Reviews-St_Barnabas_CAC-Kigali_Kigali_Province.html
Honest Inn,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d15386367-Reviews-Honest_Inn-Gisenyi_Western_Province.html
Centre D'accueil Saint Francois Xavier,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d20092843-Reviews-Centre_D_accueil_Saint_Francois_Xavier-Gisenyi_Western_Province.html
Nile Serves,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17532130-Reviews-Nile_Serves-Kigali_Kigali_Province.html
Royale Villas,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d1234593-Reviews-Royale_Villas-Kigali_Kigali_Province.html
Nice Corner Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8405728-Reviews-Nice_Corner_Guest_House-Kigali_Kigali_Province.html
Fiat Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13335828-Reviews-Fiat_Motel-Kigali_Kigali_Province.html
Dream Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8401376-Reviews-Dream_Guest_House-Kigali_Kigali_Province.html
Gorillas Lake Kivu Hotel,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d21499604-Reviews-Gorillas_Lake_Kivu_Hotel-Gisenyi_Western_Province.html
Boston Villa Motel,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d14020703-Reviews-Boston_Villa_Motel-Kigali_Kigali_Province.html
Africana Guest House 1,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d15338070-Reviews-Africana_Guest_House_1-Gisenyi_Western_Province.html
Rainbow Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8401370-Reviews-Rainbow_Hotel-Kigali_Kigali_Province.html
Wembley Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d10447366-Reviews-Wembley_Motel-Kigali_Kigali_Province.html
Inzozi Africa House - Kacyiru,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23650098-Reviews-Inzozi_Africa_House_Kacyiru-Kigali_Kigali_Province.html
Trust Inn Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12908029-Reviews-Trust_Inn_Motel-Kigali_Kigali_Province.html
Titanic Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d12839282-Reviews-Titanic_Guest_House-Gisenyi_Western_Province.html
Sunrise House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13888885-Reviews-Sunrise_House-Kigali_Kigali_Province.html
Best Western Eco Hotel Ltd,Kibuye,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g673815-d13073201-Reviews-Best_Western_Eco_Hotel_Ltd-Kibuye_Western_Province.html
Hillside Guesthouse,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12336262-Reviews-Hillside_Guesthouse-Kigali_Kigali_Province.html
Courtesy Residence,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d10644309-Reviews-Courtesy_Residence-Kigali_Kigali_Province.html
Coco's Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23372003-Reviews-Coco_s_Home-Kigali_Kigali_Province.html
Four Steps Hotel,Ndora,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g19771130-d19769948-Reviews-Four_Steps_Hotel-Ndora_Southern_Province.html
Guest House La Charite,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d14894077-Reviews-Guest_House_La_Charite-Gisenyi_Western_Province.html
Hotel Baobab,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d13207167-Reviews-Hotel_Baobab-Kigali_Kigali_Province.html
Kanyinya Hills Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17789382-Reviews-Kanyinya_Hills_Hotel-Kigali_Kigali_Province.html
Kasi Apartments,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d20361524-Reviews-Kasi_Apartments-Kigali_Kigali_Province.html
Sebihogo's,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23221773-Reviews-Sebihogo_s-Kigali_Kigali_Province.html
Destella Guest House Kayonza,Kayonza,Eastern Province,0,,https://www.tripadvisor.com/Hotel_Review-g6475304-d19948920-Reviews-Destella_Guest_House_Kayonza-Kayonza_Eastern_Province.html
Kimenyi Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d16735755-Reviews-Kimenyi_Home-Kigali_Kigali_Province.html
Panorama du Nord Motel,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d9867724-Reviews-Panorama_du_Nord_Motel-Ruhengeri_Musanze_District_Northern_Province.html
Murugo Cultural House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12872051-Reviews-Murugo_Cultural_House-Kigali_Kigali_Province.html
Airport Breeze Motel,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12236320-Reviews-Airport_Breeze_Motel-Cyangugu_Western_Province.html
Tenny Apartment,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23180197-Reviews-Tenny_Apartment-Kigali_Kigali_Province.html
Munini Hill Motel,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12236325-Reviews-Munini_Hill_Motel-Cyangugu_Western_Province.html
Best Luxary Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23302141-Reviews-Best_Luxary_Hotel-Kigali_Kigali_Province.html
Empathy Manor Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23302140-Reviews-Empathy_Manor_Guest_House-Kigali_Kigali_Province.html
Uhuru Guesthouse,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17150014-Reviews-Uhuru_Guesthouse-Kigali_Kigali_Province.html
Destella Guest House,Kayonza,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g6475304-d19721324-Reviews-Destella_Guest_House-Kayonza_Eastern_Province.html
Macheoecolodge camping,,Rwanda,,,https://www.tripadvisor.com/Hotel_Review-g293828-d23173495-Reviews-Macheoecolodge_camping-Rwanda.html
Greenland Guest House,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d23316103-Reviews-Greenland_Guest_House-Kigali_Kigali_Province.html
Ishema Kigali Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19849488-Reviews-Ishema_Kigali_Home-Kigali_Kigali_Province.html
Isimbi Murugo,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d17789578-Reviews-Isimbi_Murugo-Kigali_Kigali_Province.html
Jacanna Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13329545-Reviews-Jacanna_Motel-Kigali_Kigali_Province.html
Freedom Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7676362-Reviews-Freedom_Hotel-Kigali_Kigali_Province.html
Silkroad Hotel and Restaurant,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d21139598-Reviews-Silkroad_Hotel_and_Restaurant-Kigali_Kigali_Province.html
Twahageze Lodge,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d7676363-Reviews-Twahageze_Lodge-Gisenyi_Western_Province.html
Chez Afro,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17551937-Reviews-Chez_Afro-Kigali_Kigali_Province.html
Seed of Peace center,Kayonza,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g6475304-d12537012-Reviews-Seed_of_Peace_center-Kayonza_Eastern_Province.html
Van 14,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13341663-Reviews-Van_14-Gisenyi_Western_Province.html
Blessings House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13307787-Reviews-Blessings_House-Kigali_Kigali_Province.html
Stay With Us,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15108767-Reviews-Stay_With_Us-Kigali_Kigali_Province.html
Venus Villa Guest House 02,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d19505825-Reviews-Venus_Villa_Guest_House_02-Ruhengeri_Musanze_District_Northern_Province.html
Green Square Kigali,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19789572-Reviews-Green_Square_Kigali-Kigali_Kigali_Province.html
Ibis Hotel,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d12842430-Reviews-Ibis_Hotel-Butare_Southern_Province.html
Best Choice Lodge,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d9875545-Reviews-Best_Choice_Lodge-Gisenyi_Western_Province.html
Murugo Apartement,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19941256-Reviews-Murugo_Apartement-Kigali_Kigali_Province.html
Donate Guest House,Rubavu,Western Province,0,,https://www.tripadvisor.com/Hotel_Review-g12620107-d19999438-Reviews-Donate_Guest_House-Rubavu_Western_Province.html
La Difference Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12350362-Reviews-La_Difference_Guest_House-Kigali_Kigali_Province.html
Susa Gardens,Musanze,Northern Province,0,,https://www.tripadvisor.com/Hotel_Review-g12120942-d23617474-Reviews-Susa_Gardens-Musanze_District_Northern_Province.html
