Name,Category,Year,URL
"To understand healthy masculinity, look to Africa | View",Culture Series,2020,https://www.euronews.com/culture/2020/10/30/to-understand-healthy-masculinity-look-to-africa-view
Pope appoints Wilton Gregory as first African American cardinal,USA,2020,https://www.euronews.com/2020/10/25/pope-appoints-washington-archbishop-wilton-gregory-as-first-african-american-cardinal
Which European countries have COVID-19 border restrictions in place?,Travel News,2020,https://www.euronews.com/travel/2020/10/21/which-european-countries-have-opened-their-borders-ahead-of-the-summer-holiday-season
Why has French judiciary let Charlie Hebdo terrorism trial be filmed?,France,2020,https://www.euronews.com/2020/09/02/charlie-hebdo-is-the-first-terrorism-trial-in-france-to-be-filmed-here-s-why-
Hotel Rwanda's real-life hero arrested over 'terrorism' charges,Rwanda,2020,https://www.euronews.com/2020/09/01/hotel-rwanda-s-real-life-hero-arrested-over-terrorism-charges
What Americans should know about Europe’s travel restrictions,Travel News,2020,https://www.euronews.com/travel/2020/08/21/what-americans-should-know-about-europe-s-travel-restrictions
Algerians no longer allowed into EU after COVID-19 case spike,brussels bureau,2020,https://www.euronews.com/2020/07/30/algerians-no-longer-allowed-into-eu-after-covid-19-case-spike
Algerians and Moroccans set to lose permission to travel to EU,brussels bureau,2020,https://www.euronews.com/2020/07/28/algerians-and-moroccans-set-to-lose-permission-to-travel-to-eu-after-covid-19-spike
Greece shuts Serbia border amid COVID-19 spike in the Balkans,World,2020,https://www.euronews.com/2020/07/06/coronavirus-greece-shuts-serbia-border-amid-covid-19-spike-in-the-balkans
Trump’s ICC attack shows his contempt for the rule of law ǀ View,,2020,https://www.euronews.com/2020/07/02/donald-trump-s-attack-on-the-icc-shows-his-contempt-for-the-global-rule-of-law-view
Analysis: Europe's airline industry and flying during a pandemic,world news,2020,https://www.euronews.com/2020/06/29/analysis-europe-s-airline-industry-and-flying-during-a-coronavirus-pandemic
EU recommends lifting travel restrictions on 15 countries from July 1,World,2020,https://www.euronews.com/2020/06/29/revealed-draft-list-of-countries-that-will-be-allowed-to-enter-eu-when-borders-open
Rwanda genocide: French court ruling could shed light on France's role,France,2020,https://www.euronews.com/2020/06/07/rwanda-genocide-french-court-ruling-could-shed-light-on-france-s-role
Félicien Kabuga arrested near Paris for role in Rwandan genocide,World,2020,https://www.euronews.com/2020/05/16/felicien-kabuga-arrested-near-paris-for-role-in-rwandan-genocide
Analysis: Africa's unexpected COVID-19 figures,brussels bureau,2020,https://www.euronews.com/2020/05/12/analysis-africa-s-unexpected-covid-19-figures
World Happiness: Finland takes top ranking for third year in a row,Finland,2020,https://www.euronews.com/2020/03/20/world-happiness-finland-takes-top-ranking-for-third-year-in-a-row
The 60 best sustainable clothing brands to wean you off fast fashion,Living,2020,https://www.euronews.com/green/2020/01/21/the-60-best-sustainable-clothing-brands-to-wean-you-off-fast-fashion
Gamifying kindness: 'Positive energy can change the world',Living,2019,https://www.euronews.com/green/2019/12/13/gamifying-kindness
Rwanda’s port – creating a hub for Intra-African trade,Rwanda,2019,https://www.euronews.com/2019/11/29/rwanda-s-port-creating-a-hub-for-intra-african-trade
African business summit heralds new opportunities for regional trade,Business,2019,https://www.euronews.com/2019/11/28/african-business-summit-heralds-new-opportunities-for-regional-trade
"The Berlin Wall fell 30 years ago. Democracy seemed to have won out, but we were wrong ǀ View",,2019,https://www.euronews.com/2019/11/11/berlin-wall-fell-30-years-ago-democracy-seemed-have-won-view
Fabien Neretsé stands trial on genocide charges in Belgium,brussels bureau,2019,https://www.euronews.com/2019/11/07/former-rwandan-official-fabien-neretse-stands-trial-on-genocide-charges-in-belgium
"""Overtourism"" ruining some of the world's most beautiful destinations",Destinations,2019,https://www.euronews.com/travel/2019/11/06/overtourism-ruining-some-of-the-world-s-most-beautiful-destinations
'Waiting for justice': Families await start of Rwanda genocide trial,Good Morning Europe,2019,https://www.euronews.com/2019/11/04/waiting-for-justice-families-await-start-of-rwanda-genocide-trial-in-belgium
Families seek justice as Rwandan genocide trial begins,brussels bureau,2019,https://www.euronews.com/2019/11/04/families-seek-justice-as-rwandan-genocide-trial-begins
Fighting racism on the runway: black issues in Red Square,Living,2019,https://www.euronews.com/green/2019/10/31/facing-racism-on-the-runway
