Name,Channel,Category,Year,URL
Global News Podcast: Rwanda closes part of the Congolese border over Ebola outbreak,BBC World Service,Programmes,2019,https://www.bbc.co.uk/programmes/p07jhqpb
Free Thinking: Bessie Head.  Rwanda Representation and Reality,BBC Radio 3,Programmes,2018,https://www.bbc.co.uk/programmes/m0001dt8
Africa Today: Diane Rwigara: Rwanda government critic acquitted,BBC World Service,Programmes,2018,http://www.bbc.co.uk/programmes/p06twdxd
Arts & Ideas: Bessie Head. Rwanda Representation and Reality,BBC Radio 3,Programmes,2018,https://www.bbc.co.uk/programmes/p06tqfly
Unspeakable: Identity,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/m000ycw9
How the Rwanda-Uganda border crossing came to a halt,Africa,News,2019,https://www.bbc.co.uk/news/world-africa-47495476
Focus on Africa: The DRC and Rwanda to embark on Ebola mass vaccination campaigns,BBC World Service,Programmes,2019,https://www.bbc.co.uk/programmes/w172wn2t4jdcg45
Milutin 'Micho' Sredojevic returns as Uganda coach,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/57996667
Unspeakable: Tree of Life,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/m000yfkn
From Our Own Correspondent: New Zealand and Rwanda,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p00gty7q
Unspeakable: History is another family member,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/m000ydls
Rwanda genocide 25 years on: Why I forgave my children's killer,Africa,News,2019,https://www.bbc.co.uk/news/world-africa-47818070
"Obituary: Rwanda's Zura Karuhimbi, who saved dozens from genocide",Africa,News,2018,https://www.bbc.co.uk/news/world-africa-46618482
Biniam Girmay pedalling fast to continue Eritrea's cycling rise,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58718769
Our World: A Good Man in Rwanda,BBC  World News,Programmes,2021,https://www.bbc.co.uk/programmes/n3cstnq9
South Africa protests to Rwanda over Lindiwe Sisulu slur,Africa,News,2018,https://www.bbc.co.uk/news/world-africa-46510282
"The Interview Archive: Paul Kagame, President of Rwanda",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p004t5p8
Focus on Africa: Diane Rwigara: Rwanda government critic acquitted,BBC World Service,Programmes,2018,https://www.bbc.co.uk/programmes/w172w23wbg4dj0h
Focus on Africa: Diane Rwigara: Rwanda government critic acquitted,BBC World Service,Programmes,2018,https://www.bbc.co.uk/programmes/w172w23wbg4drhr
Business Daily: Why isn't Africa producing vaccines?,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1jg2
Focus on Africa: South Africa's army deployed as riots break out over Zuma arrest,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp0drhh0ny
Rwanda 'genocide-era' mass graves found,Africa,News,2018,https://www.bbc.co.uk/news/world-africa-43894989
People Fixing The World: How to be a better dad,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w3csz1px
Digital Planet: How Jersey is leading tech development,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1lsc
"Emma Britton: 16/02/2015: Volunteers helping with hospital discharge, Freeview issues in Bridgwater & orchids for Rwanda",BBC Radio Bristol,Programmes,2015,https://www.bbc.co.uk/programmes/p02htvvn
Global Business: Rwanda (Part 2): Strike up the Bandwidth!,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p006lhjp
Arts & Ideas: Natasha Gordon. Bessie Head. Rwanda Representation and Reality,BBC Radio 3,Programmes,2018,https://www.bbc.co.uk/programmes/p06tqjmm
This Week and Africa: Rwanda Prisoner Executions,BBC World Service,Programmes,1998,https://www.bbc.co.uk/programmes/p03m0d06
Focus on Africa: Ethiopia: Conflict in Tigray region spreads to neighbouring state,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp0s0t858s
"Rwanda closes '700 unsafe, noisy churches'",Africa,News,2018,https://www.bbc.co.uk/news/world-africa-43225067
"Victoire Ingabire: Rwanda frees 2,000 people including opposition figure",Africa,News,2018,https://www.bbc.co.uk/news/world-africa-45532922
The Compass: My Perfect Country: My Perfect Country: Rwanda,BBC World Service,Programmes,2018,https://www.bbc.co.uk/programmes/w3cswdhj
"From Our Own Correspondent: Russia, Rwanda, Turkey, Ghana and Italy",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p011qhpw
Focus on Africa: Racism and football in England,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp0drhh856
Business Weekly Archive: Communist China at 60 and digital Rwanda,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p004ct13
Rwanda bans Kigali mosques from using loudspeakers,Africa,News,2018,http://www.bbc.co.uk/news/world-africa-43413645
Morocco squad escorted out of Guinea after apparent coup,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58457903
Afrobasket: Tunisia beat Ivory Coast to successfully defend title,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58437764
Rwanda files appeal to Fifa over McKinstry ruling,African,Sport,2018,https://www.bbc.co.uk/sport/football/44041106
Sporting Witness: Rwanda v Uganda: The Match that Made History,BBC World Service,Programmes,2015,https://www.bbc.co.uk/programmes/p02mj969
World Have Your Say: WHYS 60: Chavez victory / Rwanda torture accusations,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p00ypf1s
"From Our Own Correspondent: Rwanda, DR Congo and the Vatican City",BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p00sh1lc
Drones deliver blood and medical supplies in Rwanda,Technology,News,2018,https://www.bbc.co.uk/news/technology-43886039
Africa Today: Rwanda 'genocide-era' mass graves found,BBC World Service,Programmes,2018,http://www.bbc.co.uk/programmes/p065ccnw
'I can manufacture better doors here in Rwanda',Business,News,2018,https://www.bbc.co.uk/news/business-43672739
Click: Rwanda Drones,BBC  World News,Programmes,2021,https://www.bbc.co.uk/programmes/n3ct0btn
"Covid-19: Quarantine hotels legal action - and did 300,000 break travel rules?",UK,News,2021,https://www.bbc.co.uk/news/uk-58512233
