Name,Location,Reviews,Rating(out of 5),URL
"Moonlight apartment
Near Intare conference Arena",Kigali,7.0,4.29,www.airbnb.com/rooms/31934030?previous_page_section_name=1000
Vintage Cottage Standard Room,Muhazi,4.0,5.0,www.airbnb.com/rooms/36866644?previous_page_section_name=1000
Home Away From Home 2 [Close To The Airport],Kigali,12.0,4.45,www.airbnb.com/rooms/24029724?previous_page_section_name=1000
Kacyiru Golf  Resort House,Kigali,,,www.airbnb.com/rooms/52808602?previous_page_section_name=1000
Cozy house below Kigali Convention Center,Kigali,8.0,4.5,www.airbnb.com/rooms/47894434?previous_page_section_name=1000
"Cosy little apartment. Safe, clean and comfortable",Kigali,48.0,4.83,www.airbnb.com/rooms/15674864?previous_page_section_name=1000
home away from home,Kigali,,,www.airbnb.com/rooms/46031198?previous_page_section_name=1000
Sparkling Clean and Spacious Furnished Home,Kigali,,,www.airbnb.com/rooms/37634291?previous_page_section_name=1000
Umubyeyi Residence II,Kigali,7.0,4.29,www.airbnb.com/rooms/32318907?previous_page_section_name=1000
Belle chambre privée dans quartier pittoresque,Kigali,,,www.airbnb.com/rooms/51982687?previous_page_section_name=1000
Irebero Village - 4 Bedroom Apartment,Kigali,13.0,4.77,www.airbnb.com/rooms/35217568?previous_page_section_name=1000
Beautiful garden house in the heart of Kigali,Kigali,,,www.airbnb.com/rooms/52433975?previous_page_section_name=1000
Home Away from Home,RW,,,www.airbnb.com/rooms/52299962?previous_page_section_name=1000
Amazing Kiyovu Compound - 2 bedroom lower house,Kigali,20.0,4.9,www.airbnb.com/rooms/22933964?previous_page_section_name=1000
Hot breakfast included,Kigali,6.0,4.83,www.airbnb.com/rooms/50081250?previous_page_section_name=1000
"Relaxing Family Home, Remera-Nyagatovu Gasabo",Kigali,15.0,4.87,www.airbnb.com/rooms/33091312?previous_page_section_name=1000
"SERVICED, SPACIOUS, HOSPITABLE 2BED FLAT AT KIGALI",Kigali,,,www.airbnb.com/rooms/52979265?previous_page_section_name=1000
Entire Cozy apartment,Kigali,,,www.airbnb.com/rooms/41919078?previous_page_section_name=1000
Rezider Apartment,Kigali,,,www.airbnb.com/rooms/26270756?previous_page_section_name=1000
Appartement équipé dans une résidence privée,Kigali,7.0,4.33,www.airbnb.com/rooms/28633733?previous_page_section_name=1000
Quiet and cosy Nest near Kimironko Market,Kigali,,,www.airbnb.com/rooms/47971111?previous_page_section_name=1000
"3 D-Nest “Cosy, exquisite view of the golf & skies",Kigali,,,www.airbnb.com/rooms/50164583?previous_page_section_name=1000
Entire 2 bedroom apartment in Nyarutarama,Kigali,,,www.airbnb.com/rooms/49002776?previous_page_section_name=1000
Umwezi Apartment 1BR/a,Kigali,11.0,4.64,www.airbnb.com/rooms/40810811?previous_page_section_name=1000
Maison moderne à Kigali avec 3 chambres à coucher.,Kigali,,,www.airbnb.com/rooms/46487479?previous_page_section_name=1000
Serviced Ensuite Guest Space with Kitchenette,Kigali,6.0,4.67,www.airbnb.com/rooms/46856146?previous_page_section_name=1000
Spacious & fully furnished 1 bedroom apartment,Kigali,,,www.airbnb.com/rooms/53476531?previous_page_section_name=1000
Standard Queen Bedroom (Akagera) @ MyPlace - 1,Kigali,3.0,4.67,www.airbnb.com/rooms/34702528?previous_page_section_name=1000
2 Bedroom apart in the heart of Vision City Kigali,Kigali,,,www.airbnb.com/rooms/46113167?previous_page_section_name=1000
Cozy 1 bedroom near kigali airport Rwanda,Kigali,,,www.airbnb.com/rooms/53422849?previous_page_section_name=1000
"Royal apartment kigal
Near Intare conference arena",Nyarugunga,6.0,4.83,www.airbnb.com/rooms/31934049?previous_page_section_name=1000
Spacious private room (Kivu) @ MyPlace - 1,Kigali,8.0,4.88,www.airbnb.com/rooms/34683963?previous_page_section_name=1000
"COMFY STUDIO at the heart of kigali, kacyiru",Kigali,,,www.airbnb.com/rooms/50376401?previous_page_section_name=1000
Cupid apartment,Kigali,,,www.airbnb.com/rooms/38083389?previous_page_section_name=1000
A beautiful Hotel with 24 Rooms and a Pool.,Kigali,,,www.airbnb.com/rooms/53022823?previous_page_section_name=1000
"Hallmark Residences 3 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/52732976?previous_page_section_name=1000
3 bedrooms house for rent in kigali,Kigali,,,www.airbnb.com/rooms/52755422?previous_page_section_name=1000
Nice view home,Kigali,26.0,4.73,www.airbnb.com/rooms/23321894?previous_page_section_name=1000
Fancy private room(Nyamirambo close 2 Rafiki club),Kigali,,,www.airbnb.com/rooms/52904089?previous_page_section_name=1000
RedRocks Hostel & Campsite - Safari Twin Tent,RW,12.0,4.42,www.airbnb.com/rooms/28660182?previous_page_section_name=1000
UM Apartments,Kigali,,,www.airbnb.com/rooms/47867240?previous_page_section_name=1000
"Serene Home with 4 bedrooms, Internet & Breakfast",Kigali,11.0,5.0,www.airbnb.com/rooms/42951537?previous_page_section_name=1000
Twin Room at Igitego Boutique Hotel No 109,Kigali,,,www.airbnb.com/rooms/53514780?previous_page_section_name=1000
Beautiful modern home with exquisite views,Kigali,,,www.airbnb.com/rooms/20769101?previous_page_section_name=1000
this is my own apartment +250789725066,Kigali,,,www.airbnb.com/rooms/51193176?previous_page_section_name=1000
Lake view house,Kigali,,,www.airbnb.com/rooms/47712962?previous_page_section_name=1000
Fancy private room(Nyamirambo close 2 Rafiki club),Kigali,,,www.airbnb.com/rooms/52904089?previous_page_section_name=1000
Spacious 5 BR/5.5 BA Villa - ideal for Groups,Kigali,,,www.airbnb.com/rooms/41349941?previous_page_section_name=1000
Serviced Ensuite Guest Space with Kitchenette,Kigali,6.0,4.67,www.airbnb.com/rooms/46856146?previous_page_section_name=1000
Discover cozy Two Bedroom apart at Tea House BnB,Kigali,,,www.airbnb.com/rooms/48289837?previous_page_section_name=1000
ISANGE Muhazi Beach Resort,Kigali,,,www.airbnb.com/rooms/53057845?previous_page_section_name=1000
RuJo Bed&Breakfast-Next to the convention center,Kigali,16.0,4.63,www.airbnb.com/rooms/32057051?previous_page_section_name=1000
Happy Home and Dine Standard bedroom .,Kigali,,,www.airbnb.com/rooms/32649959?previous_page_section_name=1000
RedRocks Hostel & Campsite - Safari Twin Tent,RW,12.0,4.42,www.airbnb.com/rooms/28660182?previous_page_section_name=1000
Artistic bungalow; 5 mins from Convention Centre,Kigali,,,www.airbnb.com/rooms/50391640?previous_page_section_name=1000
Upscale Music Mingle- Live here too!,Kigali,,,www.airbnb.com/rooms/52841322?previous_page_section_name=1000
Gikondo Merez Apartments,Kigali,25.0,4.8,www.airbnb.com/rooms/25060325?previous_page_section_name=1000
Nice view home,Kigali,26.0,4.73,www.airbnb.com/rooms/23321894?previous_page_section_name=1000
Beautiful Kibagabaga house,Kigali,,,www.airbnb.com/rooms/42323340?previous_page_section_name=1000
High Ground Villa: 14-Bedroom 10 bathrooms Home,Kigali,10.0,5.0,www.airbnb.com/rooms/14328467?previous_page_section_name=1000
quiet villa situated in a secure neighborhood,Kigali,31.0,4.39,www.airbnb.com/rooms/9665318?previous_page_section_name=1000
Little birds Apartment.,Kigali,,,www.airbnb.com/rooms/43365071?previous_page_section_name=1000
