Name,Location,Reviews,Rating(out of 5),URL
Pazzuri Residences,Gisenyi,4.0,5.0,www.airbnb.com/rooms/51954080?previous_page_section_name=1000
A Full Two bedroom Apartment at Peponi,Kigali,30.0,4.83,www.airbnb.com/rooms/34262909?previous_page_section_name=1000
nice home with meals included for longer stays,Kigali,62.0,4.66,www.airbnb.com/rooms/18718967?previous_page_section_name=1000
Cute and Comfy apartment in Kacyiru,Kigali,4.0,4.0,www.airbnb.com/rooms/42752511?previous_page_section_name=1000
Short-term self-contained room,Kigali,,,www.airbnb.com/rooms/53285925?previous_page_section_name=1000
Cozy Tiny SQ at Gikondo,Kigali,3.0,5.0,www.airbnb.com/rooms/50631080?previous_page_section_name=1000
Angels' Court Apt #2 Entire 2bed apartment,Kigali,3.0,4.0,www.airbnb.com/rooms/38253702?previous_page_section_name=1000
"""Umufe"" Family Home - Duha Cottage on Lake Muhazi",RW,67.0,4.72,www.airbnb.com/rooms/16949426?previous_page_section_name=1000
CJ's Revival Apartment,Kigali,13.0,4.85,www.airbnb.com/rooms/40517411?previous_page_section_name=1000
Peaceful Kigali Haven - House 2,Kigali,58.0,4.84,www.airbnb.com/rooms/18250027?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (A2),Kigali,3.0,5.0,www.airbnb.com/rooms/44771175?previous_page_section_name=1000
1 Bed Apartment in Green and Safe Gisozi - I,Kigali,,,www.airbnb.com/rooms/51841197?previous_page_section_name=1000
Budget Friendly Entire Apartment. 3.3KM to Airport,Kigali,,,www.airbnb.com/rooms/49284261?previous_page_section_name=1000
"Clean, Calm, Cozy apartment in Kacyiru",Kigali,29.0,4.72,www.airbnb.com/rooms/35253592?previous_page_section_name=1000
The Secret Jungle - a studio in Kacyiru,Kigali,20.0,5.0,www.airbnb.com/rooms/39361173?previous_page_section_name=1000
Comfy room with Pool in the Heart of Kigali,Kigali,7.0,4.57,www.airbnb.com/rooms/45555293?previous_page_section_name=1000
"Kimironko KG 39 House 17,  just 10’ to airport",RW,,,www.airbnb.com/rooms/39549917?previous_page_section_name=1000
"Luxury Cottage, Kibuye, Lake Kivu",Kibuye,6.0,5.0,www.airbnb.com/rooms/38058096?previous_page_section_name=1000
SAFE AND COZY PLACE with WiFi,Kigali,7.0,4.43,www.airbnb.com/rooms/49569550?previous_page_section_name=1000
"Home Sweet Home, Kigali -Nyamirambo",Kigali,,,www.airbnb.com/rooms/51740286?previous_page_section_name=1000
Beautiful place in Kigali with amazing view,Kigali,,,www.airbnb.com/rooms/53472381?previous_page_section_name=1000
Delightful Nest,Kigali,4.0,4.75,www.airbnb.com/rooms/41334310?previous_page_section_name=1000
Cozy 3bedroom residential home with a lush garden,Kigali,,,www.airbnb.com/rooms/52725470?previous_page_section_name=1000
Homely stylish space near Simba S.market Kicukiro,Kigali,5.0,4.8,www.airbnb.com/rooms/45631940?previous_page_section_name=1000
Executives  room - Days Inn Star,Kigali,29.0,4.86,www.airbnb.com/rooms/39247526?previous_page_section_name=1000
A beautiful private room in a cozy apartment #2,Kigali,,,www.airbnb.com/rooms/47288611?previous_page_section_name=1000
Decent Room with Pool; 5-min walk to Convention,Kigali,14.0,4.14,www.airbnb.com/rooms/37383257?previous_page_section_name=1000
Lovely two bedrooms unit with brand new furnitures,Kigali,,,www.airbnb.com/rooms/53056036?previous_page_section_name=1000
Quiet and cosy Nest near Kimironko Market,Kigali,13.0,5.0,www.airbnb.com/rooms/47353070?previous_page_section_name=1000
Classic view,Kigali,37.0,4.68,www.airbnb.com/rooms/31298571?previous_page_section_name=1000
Cozy 1 bedroom at Kagugu,Kigali,,,www.airbnb.com/rooms/52509475?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (B1),Kigali,9.0,5.0,www.airbnb.com/rooms/44458748?previous_page_section_name=1000
En-suite room; 5-minute walk to Convention Centre,Kigali,9.0,4.67,www.airbnb.com/rooms/35771322?previous_page_section_name=1000
"A modern  & Homely CBD Suite, near Chez Lando",Kigali,,,www.airbnb.com/rooms/53175664?previous_page_section_name=1000
High Ground Villa: Murugo 3-Bedroom Apartment,Kigali,32.0,4.81,www.airbnb.com/rooms/15117316?previous_page_section_name=1000
Amazing Kiyovu compound - 2 Bedroom upper house,Kigali,25.0,4.76,www.airbnb.com/rooms/8719679?previous_page_section_name=1000
"agréable petite maison de ville, proche des commerces",Kigali,,,www.airbnb.com/rooms/52129615?previous_page_section_name=1000
Beautiful Room in Kimihurura. Great shared areas!,Kigali,6.0,5.0,www.airbnb.com/rooms/47862803?previous_page_section_name=1000
residential home with garden seating,Kigali,,,www.airbnb.com/rooms/53250281?previous_page_section_name=1000
Fleur Guest Room  #1,Kigali,106.0,4.92,www.airbnb.com/rooms/20701099?previous_page_section_name=1000
"Spa Shallum, Karongi
Deluxe Double",Karongi,9.0,5.0,www.airbnb.com/rooms/43583183?previous_page_section_name=1000
Beautiful home apartment away from Home,Kigali,27.0,4.78,www.airbnb.com/rooms/32895857?previous_page_section_name=1000
Afro-European Chic Bungalow (self contained),Kigali,60.0,4.61,www.airbnb.com/rooms/16691315?previous_page_section_name=1000
La Roche Kibuye Entire House by Lake Kivu,Kibuye,22.0,4.48,www.airbnb.com/rooms/32005068?previous_page_section_name=1000
Charming house in the heart of the city.,Kigali,18.0,4.94,www.airbnb.com/rooms/17568948?previous_page_section_name=1000
"""Umuko"" Cottage on the shores of Lake Muhazi",Kabare,4.0,4.25,www.airbnb.com/rooms/42923052?previous_page_section_name=1000
A beautiful private room in a cozy apartment #1,Kigali,,,www.airbnb.com/rooms/51915435?previous_page_section_name=1000
Residential House with 3 bedroom 2 bathroom,Kigali,,,www.airbnb.com/rooms/53045792?previous_page_section_name=1000
Cabiada Guest House,Kigali,,,www.airbnb.com/rooms/49830750?previous_page_section_name=1000
C'Eil Kigali,Kigali,,,www.airbnb.com/rooms/51237977?previous_page_section_name=1000
"2D-Nest - Cosy, Serene, perfect view from the hill",Kigali,3.0,5.0,www.airbnb.com/rooms/49498350?previous_page_section_name=1000
Karibu Iwacu : Welcome / Bienvenue chez nous,Kigali,,,www.airbnb.com/rooms/41194481?previous_page_section_name=1000
En-suite room with Pool; 5-min walk to Convention,Kigali,15.0,4.4,www.airbnb.com/rooms/35620203?previous_page_section_name=1000
"BEAUTIFUL STUDIO IN KIGALI, GIKONDO, amazing view",Kigali,31.0,4.74,www.airbnb.com/rooms/14863290?previous_page_section_name=1000
"This is appartement 6,one of INEZA Appartements houses.",Kigali,,,www.airbnb.com/rooms/53042461?previous_page_section_name=1000
Private House near Kigali Convention Center,Kigali,3.0,4.33,www.airbnb.com/rooms/51241036?previous_page_section_name=1000
BADRAAN APARTMENT,Kigali,6.0,4.83,www.airbnb.com/rooms/48779036?previous_page_section_name=1000
Spacious entire 3 Bedroom home near Kigali Airport,Kigali,13.0,4.92,www.airbnb.com/rooms/33954838?previous_page_section_name=1000
3 Bed Apartment in the Green and Safe Gisozi - III,Kigali,,,www.airbnb.com/rooms/52703085?previous_page_section_name=1000
The Art House: A designer's private bungalow,Kigali,6.0,5.0,www.airbnb.com/rooms/47862277?previous_page_section_name=1000
"Batik Chambre d'hôte 1lit double, lit bébé",City,4.0,4.75,www.airbnb.com/rooms/33987056?previous_page_section_name=1000
Serenity Private Apartment,Kigali,3.0,4.33,www.airbnb.com/rooms/41603508?previous_page_section_name=1000
Umubyeyi Residence I,Kigali,6.0,4.83,www.airbnb.com/rooms/32830746?previous_page_section_name=1000
àtico blanco/WSA,Kigali,,,www.airbnb.com/rooms/50465471?previous_page_section_name=1000
Ebony Apartment BGL2,Kigali,,,www.airbnb.com/rooms/53229189?previous_page_section_name=1000
Convivial 4 bedrooms apart w/brand new furnitures,Kigali,,,www.airbnb.com/rooms/52653472?previous_page_section_name=1000
San Pedro Apartment n°2,Kigali,5.0,5.0,www.airbnb.com/rooms/46615300?previous_page_section_name=1000
Cute mini house with private garden,Kigali,67.0,4.82,www.airbnb.com/rooms/18664421?previous_page_section_name=1000
Two Bedroom Apartment at Peponi,Kigali,57.0,4.82,www.airbnb.com/rooms/24407443?previous_page_section_name=1000
Hobe Apartment by Mountain View,Kigali,14.0,4.64,www.airbnb.com/rooms/43421002?previous_page_section_name=1000
"kabeza cozy apartment, a home away from home!",Kigali,5.0,4.4,www.airbnb.com/rooms/41093205?previous_page_section_name=1000
Bright & Comfortable Kagugu Apartment,Kigali,33.0,4.88,www.airbnb.com/rooms/18245444?previous_page_section_name=1000
Lovely 2-bedroom rental unit with free parking.,Kigali,,,www.airbnb.com/rooms/53176160?previous_page_section_name=1000
3 Bed Apartment in the Green and Safe Gisozi - IV,Kigali,,,www.airbnb.com/rooms/50839771?previous_page_section_name=1000
Homesweethome,Kigali,17.0,4.71,www.airbnb.com/rooms/39480776?previous_page_section_name=1000
SERENE AND COZY APARTMENT IN THE HEART OF KIGALI,Kigali,3.0,4.33,www.airbnb.com/rooms/48477572?previous_page_section_name=1000
Spacious room with lovely view of Kigali City,Kigali,,,www.airbnb.com/rooms/53086184?previous_page_section_name=1000
Duha Cottages on Lake Muhazi -  Entire property,RW,3.0,5.0,www.airbnb.com/rooms/44117723?previous_page_section_name=1000
House of Navaeh in heart of Kigali.,Kigali,5.0,4.4,www.airbnb.com/rooms/49752806?previous_page_section_name=1000
Nicely furnished 3 bedroom apartment with garden,Kigali,,,www.airbnb.com/rooms/49977901?previous_page_section_name=1000
"Maz Apartments IV-Brand New, Urban & Spacious",Kigali,12.0,4.83,www.airbnb.com/rooms/33287355?previous_page_section_name=1000
Spacious bungalow with best view of Kigali,Kigali,26.0,4.5,www.airbnb.com/rooms/14400948?previous_page_section_name=1000
Modern Guesthouse in Kigali's Vibrant Neighborhood,Kigali,4.0,4.75,www.airbnb.com/rooms/47727682?previous_page_section_name=1000
Charming Private Apartment at the heart of kigali,Kigali,10.0,4.3,www.airbnb.com/rooms/34190475?previous_page_section_name=1000
LEXOR APARTMENTS,Kigali,8.0,4.63,www.airbnb.com/rooms/22931437?previous_page_section_name=1000
A COZY ROOM NEAR THE AIRPORT,Kigali,,,www.airbnb.com/rooms/39543544?previous_page_section_name=1000
Bliss Apartment|Cozy|4G Wifi|Airport & Valley View,Kigali,30.0,4.7,www.airbnb.com/rooms/38950580?previous_page_section_name=1000
Twin and intimate room with nice balcony - view on the lake,Gitesi,,,www.airbnb.com/rooms/52616154?previous_page_section_name=1000
Judith home stay B&B fiber internet,Kigali,13.0,4.46,www.airbnb.com/rooms/35064861?previous_page_section_name=1000
Ikaze Murugo 1A,Kigali,25.0,4.96,www.airbnb.com/rooms/37315294?previous_page_section_name=1000
Kigali's hidden Gem - Amani Villa - private home,Kigali,4.0,5.0,www.airbnb.com/rooms/49288008?previous_page_section_name=1000
Home away from home- in the heart of Kigali,Kigali,41.0,4.12,www.airbnb.com/rooms/33487275?previous_page_section_name=1000
One Room Apartment at Igitego Aparthotel No 8,Kigali,,,www.airbnb.com/rooms/53472168?previous_page_section_name=1000
WILSON INN MOTEL,Kigali,,,www.airbnb.com/rooms/52653453?previous_page_section_name=1000
House of Navaeh in the heart of Kigali,Kigali,3.0,4.67,www.airbnb.com/rooms/49846250?previous_page_section_name=1000
CHEERFUL ONE BEDROOM  AT ESTHER HOMES-KICUKIRO,Kigali,,,www.airbnb.com/rooms/53338272?previous_page_section_name=1000
LEXOR APARTMENTS,Kigali,18.0,4.89,www.airbnb.com/rooms/22737663?previous_page_section_name=1000
Nice bedroom with shared bathroom in Kacyiru,Kigali,,,www.airbnb.com/rooms/42618265?previous_page_section_name=1000
"Private Room in The Comfy, Cozy Kacyiru Home",Kigali,,,www.airbnb.com/rooms/52962637?previous_page_section_name=1000
1 Bed Apartment in Green and Safe Gisozi - II,Kigali,,,www.airbnb.com/rooms/52701919?previous_page_section_name=1000
Ecoair Apartment Hotel,Kigali,5.0,5.0,www.airbnb.com/rooms/40070923?previous_page_section_name=1000
Luxurious 4 bedroom villa with a beautiful vista,Kigali,,,www.airbnb.com/rooms/52745730?previous_page_section_name=1000
Affordable 2 Bedroom Apartment - kagugu @ MyPlace,Kigali,,,www.airbnb.com/rooms/53374710?previous_page_section_name=1000
"Kimihurura, room including breakfast.",Kigali,69.0,4.74,www.airbnb.com/rooms/16265376?previous_page_section_name=1000
"Superb Furnished House in Kimihurura, Kigali",Kigali,,,www.airbnb.com/rooms/8970252?previous_page_section_name=1000
Rusaro Cosy,Kigali,14.0,4.93,www.airbnb.com/rooms/40256297?previous_page_section_name=1000
Rusaro home,Kigali,,,www.airbnb.com/rooms/45132350?previous_page_section_name=1000
2 bedrooms apt at the Pent Plus.,Kigali,,,www.airbnb.com/rooms/53434384?previous_page_section_name=1000
B&B Dinner included with wifi,Kigali,17.0,4.59,www.airbnb.com/rooms/35687486?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (B2),Kigali,,,www.airbnb.com/rooms/44770358?previous_page_section_name=1000
Beautiful house in a nice and quiet neighbourhood,Kigali,51.0,4.63,www.airbnb.com/rooms/27357999?previous_page_section_name=1000
Comfy Room at Inside Afrika Boutique Hotel,Kigali,4.0,4.5,www.airbnb.com/rooms/32460809?previous_page_section_name=1000
"Hallmark Residences 3 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/52733629?previous_page_section_name=1000
"One Room Apartment at Igitego ApartHotel, No 3",Kigali,,,www.airbnb.com/rooms/53446702?previous_page_section_name=1000
Angels’ Court Apt #3 Entire 2bed apartment,Kigali,,,www.airbnb.com/rooms/52842975?previous_page_section_name=1000
B&B & Coffeebar + fiber wifi,Kigali,34.0,4.62,www.airbnb.com/rooms/31139042?previous_page_section_name=1000
Cosy Private Apartment,Kigali,11.0,4.27,www.airbnb.com/rooms/36131041?previous_page_section_name=1000
LesConvives3,Kigali,,,www.airbnb.com/rooms/42018431?previous_page_section_name=1000
"Modern, Spacious, greatly located Home for you",Kigali,,,www.airbnb.com/rooms/46194033?previous_page_section_name=1000
"""Inkeri 1"" Suite - Duha Cottage on Lake Muhazi",RW,19.0,4.58,www.airbnb.com/rooms/16949765?previous_page_section_name=1000
CONVENIENT HOME WITH WiFi,Kigali,29.0,4.72,www.airbnb.com/rooms/33305387?previous_page_section_name=1000
Neza Nest 2: Quiet & cozy near kimironko market,Kigali,,,www.airbnb.com/rooms/48728877?previous_page_section_name=1000
IB & ZAM PALACE,Kigali,,,www.airbnb.com/rooms/52628136?previous_page_section_name=1000
Ikaze Murugo 1B,Kigali,6.0,5.0,www.airbnb.com/rooms/45855336?previous_page_section_name=1000
Central dbl Studio w/ private terrace above cafe,Kigali,34.0,4.74,www.airbnb.com/rooms/23280575?previous_page_section_name=1000
A comfortable And clean Apt.,Kigali,3.0,4.67,www.airbnb.com/rooms/24127519?previous_page_section_name=1000
"Remera, Kigali City Clean Comfy Private Room + WiFi + Netflix + Airport Pickup",Kigali,,,www.airbnb.com/rooms/52841913?previous_page_section_name=1000
Serene and Cosy 1 Bdr Apartment in Izuba city!,Kigali,8.0,4.75,www.airbnb.com/rooms/44419035?previous_page_section_name=1000
"One Room Apartment at Igitego ApartHotel,  No 4",Kigali,,,www.airbnb.com/rooms/53446838?previous_page_section_name=1000
Convenient home with WiFi,Kigali,,,www.airbnb.com/rooms/53492319?previous_page_section_name=1000
La petite maison du lac,Rwesero,8.0,4.38,www.airbnb.com/rooms/41442024?previous_page_section_name=1000
AMAZING HOUSE WITH NICE VIEW ROOM 1,Kigali,34.0,4.91,www.airbnb.com/rooms/38425400?previous_page_section_name=1000
Angels' Court Apt #5 Entire 2bed apartment,Kigali,30.0,4.67,www.airbnb.com/rooms/29068059?previous_page_section_name=1000
Private Single room,Kigali,6.0,4.67,www.airbnb.com/rooms/42128726?previous_page_section_name=1000
Modern 3 bedroom apartment with a stunning view,Kigali,7.0,4.86,www.airbnb.com/rooms/48296324?previous_page_section_name=1000
Wooden Palace,Kigali,8.0,4.75,www.airbnb.com/rooms/42237024?previous_page_section_name=1000
"Maz Apartments III-Brand New, Urban & Spacious",Kigali,14.0,4.86,www.airbnb.com/rooms/32422632?previous_page_section_name=1000
Large room with Pool; 5-min walk to Convention,Kigali,19.0,4.53,www.airbnb.com/rooms/35927713?previous_page_section_name=1000
A finished apartment to rent out,Kigali,,,www.airbnb.com/rooms/15156765?previous_page_section_name=1000
Tourist heaven entire house,Kigali,,,www.airbnb.com/rooms/51876680?previous_page_section_name=1000
Serene homes Gikondo,Kigali,14.0,4.93,www.airbnb.com/rooms/38877673?previous_page_section_name=1000
An astounding 5 bedroom residential home,Kigali,,,www.airbnb.com/rooms/53456983?previous_page_section_name=1000
Rouge By Desir Hotel,Kigali,13.0,4.23,www.airbnb.com/rooms/35698144?previous_page_section_name=1000
One Room Apartment at Igitego ApartHotel No1,Kigali,,,www.airbnb.com/rooms/53438423?previous_page_section_name=1000
